Smiles,pChEMBL Value
c1ccc(CN2CCN(Cc3coc(-c4ccccc4)n3)CC2)cc1,4.56
OCc1ccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn2c1,4.56
CCCN1CCO[C@@H]2c3cc(OCCCCNC(=O)c4cc5cccnc5[nH]4)ccc3OC[C@H]21,4.57
COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1,4.57
Cc1ccc(CNCC2(F)CCN(C(=O)c3coc4ccccc34)CC2)nc1,4.57
CCCCN1CCC2(CC1)CCN(c1ccccc1OC)CC2,4.57
Cn1c(SCCCN2CCC3(CC2)CCN(c2ccccc2F)CC3)nnc1-c1ccccc1,4.58
Cc1cc2nc(C)c(CN3CCN(c4ccc(Cl)cc4)CC3)n2c(C)n1,4.58
Cc1cccc(NC(=O)CN2CCN(c3ccccn3)CC2)c1,4.58
CCCCN1CCC2(CCN(c3ccccc3OC)C2)C1,4.58
CCCCN1CCC2(CC1)CCN(c1ccccc1OC)C2,4.59
Cc1ccc(C2CN(CCCSc3nnc(-c4ccc(-c5noc(C)n5)cc4)n3C)CCO2)cc1,4.6
Cn1c(SCCCN2CCOC(c3ccc(C(F)(F)F)cc3)C2)nnc1-c1ccc(C(N)=O)nc1,4.6
Cc1nc(N2CCN(CCCCNC(=O)c3cn4ccccc4n3)CC2)cc(C(F)(F)F)n1,4.6
NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,4.6
Cc1ccc(N2CCN(CCCCNC(=O)c3ccc(-c4ccsc4)cc3)CC2)cc1,4.6
COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC[C@H]1CCN(Cc2ccccc2)C1,4.6
C#Cc1cccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)c(C)nn12,4.6
c1ccc(C2=NCC[C@H](CN3CCN(c4ccccc4)CC3)N2)cc1,4.6
Cc1cccc(NC(=O)CN2CCN(c3ncccn3)CC2)c1,4.6
COc1cccc(C2=NCCc3c2[nH]c2ccc(OC)cc32)c1,4.6
CCCN1CCC(c2ccc(OC)cc2)CC1,4.6
COc1ccccc1N1CCN(Cc2cn([C@@H]3O[C@H](CF)[C@@H](O)[C@H](O)[C@H]3O)nn2)CC1,4.62
Cc1nn2c(-c3ccccc3)cccc2c1CN1CCN(c2ccc(Cl)cc2)CC1,4.62
COc1ccc(OCCN2CCN(C(=O)c3cccc(OC)c3)CC2)cc1,4.62
C#CCN1CCC2(CC1)OC=C(c1ccccc1)C2=O.Cl,4.62
COc1ccccc1N1CCN(Cc2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3F)nn2)CC1,4.64
c1ccc(CN2CCC(NCc3csc(-c4ccccc4)n3)CC2)cc1,4.64
CCCN1CCC(c2ccc(OC)cc2)CC1,4.64
CCN(CC)C(=S)SSC(=S)N(CC)CC,4.64
OCc1ccc2c(CN3CCN(c4ccc(Cl)cc4)CC3)cnn2c1,4.66
Cn1c(SCCCN2CCC3(CC2)CCN(c2ccc(C(F)(F)F)cc2F)CC3)nnc1-c1ccccc1,4.67
CCc1cc(Cl)c(OC)c(N2CCN(C[C@H](F)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,4.67
COc1ccccc1N1CC2(CN(CCCSc3nnc(-c4ccccc4)n3C)C2)C1,4.67
c1ccc(CN2CCN(Cc3coc(-c4ccccc4)n3)CC2)cc1,4.67
c1nc(N2CCNCC2)c2c3c(sc2n1)CCCC3,4.67
CCc1cc(Cl)c(OC)c(N2CCN(CC(F)CCNC(=O)c3cc4ccccc4[nH]3)CC2)c1,4.68
COc1ccccc1N1CCC2(CCN(CCCSc3nnc(-c4ccccc4)n3C)C2)CC1,4.68
C[C@H]1CO[C@@H](c2ccc(N)nc2)CN1CCCCNC(=O)c1cc2ccccc2[nH]1,4.68
C[C@H]1CO[C@H](c2ccc(N)nc2)CN1C/C=C/COc1ccc2c(c1)NC(=O)CC2,4.68
COc1cc(NC(C)=O)c(Cl)cc1C(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,4.68
COc1ccc(Br)cc1C1=N[C@@H](CN2CCN(c3ccccc3)CC2)[C@@H](C)O1,4.68
